"gene"	"ASDc"	"IDG"	"hs"	"SCZ"	"FMRP"	"PSD"	"NP_exon_max_z"	"any_Brain_GO"	"TADAq"	"TADAi"	"UASD"	"varp"	"meanp"	"medp"	"minp"	"maxp"
"ZDHHC22"	0	0	0	0	0	0	-1.73798521994255	0	0.928581303394413	0	0	0.00179818507440506	0.297465329465312	0.288987175670446	0.216842952622135	0.460246157195562
"FICD"	0	0	0.133	0	0	0	-0.250446703778813	0	0.938130991534954	0	0	0.00184326356942515	0.297464278267003	0.291383607942944	0.1955311770794	0.460246157195562
"CYP4F11"	0	0	0.101	0	0	0	-0.416087392093929	0	0.942189767060134	0	0	0.00165199942499252	0.297460676775302	0.289287907757876	0.20265515973783	0.460246157195562
"SLC34A3"	0	0	0.129	0	0	0	-0.269855266194852	0	0.936020389723627	0	0	0.00181798033315093	0.297420254986984	0.291176156690307	0.196301081503695	0.460246157195562
"CAPN5"	0	0	0.208	1	0	1	1.09674262323486	0	0.945238006522109	0	0	0.0462647799140511	0.297385242647852	0.277318623388214	2.45177167119076e-26	0.968571894620714
"MDH1"	0	0	0.153	1	0	1	1.25405560618714	0	0.896886049756956	0	0	0.0464822362534262	0.297362468097952	0.266907810299262	1.88725476502908e-26	0.973303150090878
"NME1-NME2"	0	0	0	0	0	0	-1.74639906619353	0	0.83703475047252	0	0	0.0018020646781353	0.297356839033781	0.288844058645729	0.216655777422951	0.460246157195562
"FAM78B"	0	0	0.694	0	0	0	0.394666351366566	0	0.926410048344832	0	0	0.0085644917195215	0.297325019013924	0.331194616191881	0.0313962613318873	0.510094416668251
"RAB6A"	0	0	0	1	0	1	1.90176145784895	0	0.889174318558052	0	0	0.050122015184936	0.297321598842922	0.257891467603442	8.05854308802615e-26	0.98015260208943
"TPH1"	0	0	0.334	0	0	0	0.201442178374625	0	0.844580056162026	0	0	0.00370724858449068	0.297314388401792	0.305723038932708	0.106181521237005	0.460246157195562
"LOC100506422"	0	0	0	0	0	0	-1.74969511771347	0	1	0	0	0.00180358736863448	0.297314350330575	0.28878800618735	0.216582485026277	0.460246157195562
"ANGPTL5"	0	0	0.117	0	0	0	-0.332277909958245	0	0.838133845962481	0	0	0.00174541774912053	0.297299502831499	0.290092837023736	0.198701779730623	0.460246157195562
"ZNF174"	0	0	0.108	0	0	0	-0.381266671075299	0	0.939099543471577	0	0	0.00169325139227324	0.29729003811261	0.289825722052511	0.20072254458252	0.460246157195562
"GAPT"	0	0	0	0	0	0	-1.75255674948997	0	0.913613381248101	0	0	0.00180491068600046	0.297277466885029	0.288736663385145	0.216518867120937	0.460246157195562
"KRR1"	0	0	0.956	0	0	0	0.42617037275312	0	0.813956413407104	0	0	0.0126009755713662	0.29720749569868	0.346235854222959	0.0119122819760029	0.620023916066544
"PTGDR"	0	0	0.115	0	0	0	-0.345907238103664	0	0.755159038162716	0	0	0.00173533614490136	0.297206504253137	0.290064072737957	0.198985265654194	0.460246157195562
"PIGZ"	0	0	0.046	0	0	0	-0.899791043045847	0	0.621371880296156	0	0	0.00148130485605509	0.297204853054851	0.289094276248361	0.217475646997941	0.460246157195562
"ZBTB32"	0	0	0.127	0	0	0	-0.286344923492044	0	0.747828170685367	0	0	0.00180980436323464	0.297198169179952	0.290717663912428	0.196336268887296	0.460246157195562
"ST6GALNAC3"	0	0	0.235	0	0	0	0.0487379334683105	0	0.880509960660726	0	0	0.00268127675087597	0.297197790253671	0.298852803010882	0.146181969809191	0.460246157195562
"FSHR"	0	0	0.07	0	0	0	-0.653279494249711	0	0.936621702016852	0	0	0.00152414348741661	0.297176673668689	0.289301873387845	0.210120388791258	0.460246157195562
"FGFR1OP"	0	0	0.543	0	0	0	0.346587272735839	0	0.776474684780177	0	0	0.00637796780053526	0.29717544432028	0.321399277900705	0.0529837070642487	0.460246157195562
"GTF2E1"	0	0	0.658	0	0	0	0.384499162184182	0	0.893750396967897	0	0	0.00803367737206781	0.297166159503928	0.32875860128649	0.0355548005265613	0.49443358791315
"RAMP3"	0	0	0.108	0	0	0	-0.385889574172801	0	0.844430982647541	0	0	0.00169577472688706	0.297159796974453	0.289652417825918	0.200495239763819	0.460246157195562
"ZNF679"	0	0	0.061	0	0	0	-0.737688890036544	0	0.930491183520661	0	0	0.00150035865454759	0.297158762100065	0.288916814392046	0.212683711825302	0.460246157195562
"OR2M7"	0	0	0.088	0	0	0	-5.1158115922346	1	0.710319399295153	0	0	0.00929315490779384	0.297142880824966	0.28443035141063	0.114940018406469	0.797124214132643
"PRAMEF12"	0	0	0.053	0	0	0	-0.822527779241921	0	0.937092849551357	0	0	0.00148719877490402	0.297127762520789	0.288768287189107	0.215081063705602	0.460246157195562
"CA9"	0	0	0.333	0	0	0	0.196978759550214	0	0.900794623080748	0	0	0.00370293776618071	0.297125726391699	0.305480253659839	0.106232369460754	0.460246157195562
"TRIM6-TRIM34"	0	0	0	0	0	0	-1.77124995816337	0	0.946569161143514	0	0	0.00181358513864373	0.297036650909939	0.288424371612537	0.216103624785301	0.460246157195562
"ROS1"	0	0	0.611	0	0	0	0.369701547414836	0	0.949178375823428	0	0	0.00735023058035932	0.297035752091884	0.325427087276485	0.0418111673524811	0.474012671538179
"CCNJL"	0	0	0.148	0	0	0	-0.201718135797659	0	0.747617286798316	0	0	0.00195702578047921	0.297021754943832	0.29235229491994	0.191649038754169	0.460246157195562
"ZNF671"	0	0	0.064	0	0	0	-0.715198648971939	0	0.943957263574081	0	0	0.00150980604702327	0.29701504818427	0.289079654553385	0.211564183046572	0.460246157195562
"KLK3"	0	0	0.635	0	0	0	0.376577166998273	0	0.896281979250123	0	0	0.00770065180744983	0.297009362878502	0.327195139975424	0.0384302051192289	0.484383510018434
"SLC17A3"	0	0	0.082	0	0	0	-0.562664777509843	0	0.941346204133862	0	0	0.00157068774119943	0.297003769663001	0.289541840997303	0.206589110288755	0.460246157195562
"SCFD1"	0	0	0.184	1	0	1	1.14760271972974	0	0.897536105244629	0	0	0.0462565370124435	0.296989458764609	0.272726405927502	1.80628714310485e-26	0.970840328647789
"COX19"	0	0	0.027	0	0	0	-1.18414406284314	0	0.906131622634457	0	0	0.0015221906022833	0.296961800373964	0.289333451507869	0.224056444371983	0.460246157195562
"ASTE1"	0	0	0.124	0	0	0	-0.309028210866306	0	0.948183914721056	0	0	0.00179600202907571	0.296944689817389	0.290378566812407	0.196537320471185	0.460246157195562
"KLLN"	0	0	0	0	0	0	-1.77872024727761	0	1	0	0	0.00181706622472077	0.296940472839568	0.288349682538728	0.215937844618293	0.460246157195562
"LOC102288414"	0	0	0	0	0	0	-1.78125959234752	0	1	0	0	0.00181825142411045	0.296907786992	0.288324299026766	0.215881512629108	0.460246157195562
"PAWR"	0	0	0.79	0	0	0	0.407521308405486	0	0.915121987001204	0	0	0.0100342798935393	0.296904047021959	0.3360279991897	0.0220051541015558	0.551012320637386
"RAD54B"	0	0	0.398	0	0	0	0.256281127900704	0	0.89972698129226	0	0	0.00447899626432399	0.296894937686187	0.310192229376104	0.0856221213525291	0.460246157195562
"CCDC65"	0	0	0.138	0	0	0	-0.247303632447525	0	0.931146931348483	0	0	0.00189015947626781	0.296871237835616	0.291268895949135	0.193430871705218	0.460246157195562
"DEFB129"	0	0	0.246	0	0	0	0.0630980864333865	0	0.912513476649563	0	0	0.00279690059614926	0.296867530227817	0.299302796503085	0.140441374550614	0.460246157195562
